Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Pitch Black,Vreid,1w8kmPSpIWrdk9qCM1dCZu,0.274,0.93,9,-5.136,1,0.0774,8.15e-05,0.614,0.0699,0.376,164.003,Not Hot,7,0
Hang Your Lights,Jamie Cullum,6ajujXL9Ak5kowvMBDaTc5,0.346,0.605,3,-7.059,0,0.0794,0.188,0.0,0.241,0.747,202.175,Not Hot,7,0
La Curiosidad,Jay Wheeler;DJ Nelson;Myke Towers,4HYDUMY0xSpeBr0AMY9cUz,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,Not Hot,3,0
One - Radio Edit,Swedish House Mafia,3GqdU7BqLVpP7hBtlncv3n,0.802,0.78,0,-6.564,1,0.0367,0.0075,0.824,0.147,0.623,125.027,Not Hot,5,0
Low Grav Freefall (High Altitude Mix),Ochre,2fLFNk6oZD6vGQ3CvnA4NI,0.512,0.821,6,-12.631,1,0.0722,0.367,0.716,0.126,0.15,159.875,Not Hot,5,0
In Her Heart,Capleton,71d6CmEhDYIboNjNkovBCt,0.657,0.872,1,-6.564,1,0.396,0.0208,8.19e-06,0.177,0.739,116.05,Not Hot,2,0
Is There Anybody Out There?,Machine Head,5aeIj88MLdekYvObw5Yisk,0.408,0.953,7,-3.883,1,0.226,0.00532,0.0,0.338,0.291,177.94,Not Hot,7,0
Grand' Hotel - Ao Vivo,Kid Abelha,2NrSTMKBB6X4cMk7AUmpLA,0.653,0.595,9,-7.336,1,0.0255,0.686,0.0,0.867,0.307,111.957,Not Hot,0,0
I Demonens Bok,Khold,3UiHKZfXAXXtYqszxlYasq,0.393,0.951,2,-12.858,1,0.0424,5.11e-06,0.000466,0.266,0.467,140.026,Not Hot,7,0
Dan Ryan,Theo Parrish;Jerrald James,6lecdCQHdy5QzqBAQogAV4,0.768,0.672,11,-19.067,1,0.0665,0.0622,0.91,0.125,0.545,117.167,Not Hot,5,0
EG-ENERGY,E-girls,3zzW9CIHxiPbeQrGmBVvG6,0.679,0.937,1,-4.117,1,0.0612,0.11,1.77e-05,0.364,0.397,124.02,Not Hot,2,0
Almost Home,Above & Beyond;Justine Suissa,5RT22k0yL1HpwbftyNjDjP,0.598,0.827,9,-6.381,0,0.0262,0.000556,0.268,0.0967,0.484,128.004,Not Hot,3,0
